	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
schücad	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								die Erstellung von Werkplanungen und Fertigungszeichnungen mittels CAD (Auto-CAD, SchüCAD) von Alu-Fenstern, -türen und -fassaden gemäß Ausschreibungen
sew	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse in Mess-, Regel- und Antriebstechnik (Siemens, SEW)
sheetmetal	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse in CAD-System Catia V5 und/oder ProEngineer (Freiformflächen, Sheetmetal) erforderlich
simplorer	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Simulationssoftware ( Simplorer, MentorGraphic, SystemVision  Erfahrung mit Tools zur Simulation (MathCad, Spice, Simplorer, etc.) erforderlich
smarteam	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrung mit CAD-Software (CATIA V5, PRO/E, Smarteam, ¿)
smartplant	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse in einem 3D-Anlagenplanungstool wie beispielsweise Intergraph-PDS, SmartPlant, PDMS oder Microstation können Sie vorzugsweise vorweisen
sofistik	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Statikprogramme wie Sofistik, RIB oder R-Stab bedienen Sie routiniert.
solid edge	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								PC Kenntnisse (Solid Edge und Auto-CAD)  * Routinierter Umgang mit einem 3D-CAD-System (z. B.: Solid Edge, ProEngineer oder CATIA V5)  Der Berufsabschluss eines/er Technischen Zeichners/in ist zwingend erforderlich, Kenntnisse in den Programmen Solid Edge und Solid Works notwendig, andere CAD-Programme von Vorteil.
solid edge	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								PC Kenntnisse (Solid Edge und Auto-CAD)  * Routinierter Umgang mit einem 3D-CAD-System (z. B.: Solid Edge, ProEngineer oder CATIA V5)  Der Berufsabschluss eines/er Technischen Zeichners/in ist zwingend erforderlich, Kenntnisse in den Programmen Solid Edge und Solid Works notwendig, andere CAD-Programme von Vorteil.
solid work	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
solid works	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
solidedge	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrungen im Umgang mit SolidEdge sind von Vorteil.
solid-edge	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Sie konstruieren mit 3D CAD-Systemen (Kenntnisse in Solid-Edge von Vorteil) und sind erfahren im Umgang mit modernen ERP-Systemen.
solidwork	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
solidworks	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrung mit 3D-CAD-Systemen (SolidWorks, Inventor) sind vorteilhaft, aber nicht Bedingung.    SolidWorks und MS-Office Anwendungen beherrschen Sie sicher, Sie verfügen über verhandlungssichere Englischkenntnisse.
tribon	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Selbstständige Lösung von Aufgaben im Gebiet "Stahlkonstruktion" zur Neu- und Weiterentwicklung von Erzeugnissen unter Nutzung moderner CAD-Systeme (TRIBON / NUPAS) und im Rahmen von Richtlinien unter Beachtung von einschlägigen Vorgaben  Selbstständige Lösung von Aufgaben im Gebiet "Stahlkonstruktion / Schwerpunkt Basic Design" zur Neu- und Weiterentwicklung von Erzeugnissen unter Nutzung moderner CAD- Systeme (TRIBON / NUPAS)
tricad	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Bringen Sie mindestens zwei Jahre Berufserfahrung, gute Kenntnisse in Standardsoftware, Microstation + TriCAD, AutoCAD + PitCup und HOAI mit?
ug-nx	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrung in der Konstruktion mit 3D-CAD, I-deas oder UG-NX
unigraphic	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse in MS Office sowie in CAD (Unigraphics)    Erstellen von Montage- und Fertigungsunterlagen, Stücklisten und Montageanleitungen anhand vorgebenden Entwürfen und bestehenden Baugruppen mittels SolidWorks, Inventor und Unigraphics NX7    Tiefe Kenntnisse eines 3D CAD Systems (Unigraphics NX4/NX6 bevorzugt)    Ausgeprägte Kenntnisse in Unigraphics oder ähnlichen 3D-CAD-Programmen    Wir erwarten neben guten Kenntnissen der CAD-Anwendungen (AutoCAD, Inventor, UniGraphics, ProE, SolidWorks) selbständiges Arbeiten, Teamfähigkeit sowie sicheres Auftreten gegenüber Kunden.    SolidWorks, SolidEdge, CATIA V5, Inventor, Pro/Engineer oder Unigraphics)    Kenntnisse in Unigraphics wären wünschenswert    Sie konzipieren mit unseren CAD-Systemen Catia, I-DEAS, UniGraphics und ProEngineer    Kenntnisse in CATIA V5, Pro/ENGINEER, Unigraphics NX oder anderen CAx-Programmen
unigraphics	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								D-CAD-Systemen Siemens NX (Unigraphics) oder HiCAD next stehen Ihnen bei uns verschiedenste Karrieremöglichkeiten offen.
vectorwork	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
vektorwork	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								> Gute EDV Kenntnisse (WORD, EXCEL, AutoCAD bzw. VektorWorks, AVA)
vestra	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Einsatzfreude, Teamfähigkeit, Selbständiges Arbeiten und gute EDV-Kenntnisse in Office, Vestra, Caddy und ACAD setzen wir voraus.
windchill/	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Bereits vorhandene Kenntnisse in Windchill/ ECA wären wünschenswert    Bereits vorhandene Kenntnisse in Windchill/ ECA wären wünschenswert    Bereits vorhandene Kenntnisse in Windchill/ ECA wären wünschenswert    Bereits vorhandene Kenntnisse in Windchill/ ECA wären wünschenswert
windchill/ eca	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Bereits vorhandene Kenntnisse in Windchill/ ECA wären wünschenswert
wood-wop	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Sie haben Ihre Gesellenprüfung praktisch mit " Zwei" bestanden und mindestens zwei Jahre Berufserfahrung sowie erweiterte Kenntnisse in Wood-Wop?
worknc	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse in WorkNC oder Delcam
3d-cad-anwendung	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrung in 3D-CAD-Anwendungen,speziell in AutoDesk Inventor
3d-cad-software	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Der sichere Umgang mit 3D-CAD-Software (idealerweise Autodesk Inventor und Auto-CAD 3D) und evtl.
3d-inventor	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Aufnahme von manuellen Basiszeichnungen mittels Auto-CAD und 3D-Inventor
3d-konstruktionssoftware	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Sicherer Umgang mit MS Office und 3D-Konstruktionssoftware (Catia V5, Solid Works)
3d-modellierungsanwendung	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrung im Umgang mit 3D-Modellierungsanwendungen (3DSMax, XSI, Maya...)
3d-visualisierungsprogrammen	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrungen mit 3D-Visualisierungsprogrammen und CAD-Systemen (VectorWorks)
autocad-adt	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Sie sollten sehr gute Kenntnisse in Microsoft Office und AutoCAD-ADT besitzen.
bo-cad	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse in Logo-CAD und Bo-CAD
ca-link	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Ansprechpartner und Betreuer für Datenbank (CA-Link, ProAlpha)
cad-anlage	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Hierbei wird hauptsächlich dreidimensional mit CAD-Anlagen und -software konstruiert.
cad-auto	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Zwingend Erforderlich sind die abgeschlossene Berufsausbildung zur/zum Technische/r Zeichner/in - Maschinen- und Anlagentechnik und Kenntnisse in CAD-Auto Inventor 3D.
cad-datenbankensystemen	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Gute Kenntnisse in CAD-Datenbankensystemen (CA-Link, ProAlpha)
cad-entwurf	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Planung von Verkehrsanlagen (CAD-Entwurf und zugehörige Berechnungen)
cad-inventor	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								* Gute Auto-CAD Kenntnisse sind erforderlich, Kenntnisse in CAD-Inventor von Vorteil
cad-micro-station	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Wir erwarten weiterhin Erfahrungen mit CAD-Systemen (CAD-Nemetschek, CAD-Micro-Station).
cad-plan	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Sie sind verantwortlich für die eigenständige zeichnerische und konstruktive Bearbeitung von CAD-Plänen und GIS-Anwendungen.
cad-planungstool	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Grundkenntnisse verfahrenstechnischer Simulationstools und CAD-Planungstools  Grundkenntnisse verfahrenstechnischer Simulationstools und CAD-Planungstools
cad-produkt	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								* gute Kenntnisse im Umgang mit den MS Office- und CAD-Produkten
cad-prog	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse im Umgang mit dem CAD-Prog.  Zusätzliche Kenntnisse im Umgang mit dem CAD-Prog.
cad-solid-work	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Berufserfahrungen in der Anwendung von 3-D-System AutoCAD und CAD-Solid-Works sowie HighCAD von Vorteil
cad-tools	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Gute Erfahrung im Umgang mit CAD-Tools (Catia V4/V5, AutoCAD, etc.)
cad-vorlage	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erstellen von Werkstücken nach Zeichnung und CAD-Vorlagen
CAD bad-software	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Gute Kenntnisse im Umgang mit CAD Bad-Software, vorzugsweise "INOVA".
cad/pdm	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrung im CAD/PDM Bereich
cad¿programmen	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Sehr gute Kenntnisse im Umgang mit MS-Office und CAD¿Programmen zwingend erforderlich
caddatenbank	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse im Umgang mit PPS-Systemen und CADDatenbanken
cae-anwendung	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Unsere Architekten und Ingenieure beraten gemeinsam mit unseren IT-Fachleuten branchengerecht bei Fragen rund um CAD- und CAE-Anwendungen.
case tool	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Modellbasierte Softwareentwicklung für Embedded Systems mit UML und CASE Tools
cat	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								idealerweise Erfahrungen im Bereich CAT 5-7
catia.	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Sichere CAD-Kenntnisse in mindestens einem der Programme Inventor, AutoCad, Solidworks oder CATIA.
catia/caa.	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Dabei verwenden wir Microsoft Visual Studio, MFC, Open Inventor und Catia/CAA.
catia/enovia	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse im Umgang mit dem Programmen MS-Office, CATIA/ENOVIA und Ratio Plus
photo shop	(5G) Grafik-SW	(5G)	Grafik-SW								Sie sollten zwingend Erfahrung im Umgang mit dem Computerprogramm Auto Cad und Photo Shop haben und selbstständig arbeiten können.    Sie sollten zwingend Erfahrung im Umgang mit dem Computerprogramm Auto Cad und Photo Shop haben und selbstständig arbeiten können.
powerdesigner	(5G) Grafik-SW	(5G)	Grafik-SW								Sicherer Umgang mit den Werkzeugen Powerdesigner und TOAD
raw-konverter	(5G) Grafik-SW	(5G)	Grafik-SW								Kenntnisse im RAW-Konverter Capture one pro oder Capture one 4x4,  Kenntnisse im RAW-Konverter Capture one pro oder Capture one 4x4,
simulat	(5G) Grafik-SW	(5G)	Grafik-SW								Ingenieur, Techniker der Meister mit mehrjähriger und einschlägiger Erfahrung mit der Simulationssoftware Robcad, Process Simulate und Designer im Karosseriebau mit fundierten Kenntnissen der gültigen Simulationsrichtlinien und Methodik
simulationsprogramm	(5G) Grafik-SW	(5G)	Grafik-SW								Vorteilhaft: Programmiersprachen (VBasic), Simulationsprogramme und Pro-E
sketchup	(5G) Grafik-SW	(5G)	Grafik-SW								Wir arbeiten mit Dataflor Business, den MS-Office-Produkten, CAD und Sketchup.
vray	(5G) Grafik-SW	(5G)	Grafik-SW								Sie beherrschen den sicheren Umgang mit 3D Studio MAX oder VIZ (Kenntnisse in Vray sind von Vorteil)
bürokommunikations-software	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								Gute Kenntnisse in Bürokommunikations-Software (MS-Office)
chat	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								NA
citadel	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								NA
groupware	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								Kenntnisse in Groupware Microsoft Exchange Server
groupwaresystem	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								NA
wikis	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								NA
wikisoftware	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								sicherer Umgang mit MS Office, Datenbanken (Wikisoftware)
xfire	(5H) CSCW & CSCL (computer supported cooperative work & learning)	(5H)	CSCW & CSCL (computer supported cooperative work & learning)								Fundierte Kenntnisse von Frameworks wie Struts, Spring und XFire
abas	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Sie entwickeln, konstruieren und verwalten Erzeugnisse aus den Bereichen Ventile, Regler und Regler für Drücke von 0,3 bis 80 bar, 1/8 bis 2,5", Temperaturen von -50 bis +200°C unterstützt durch CAD (AutoCad Inventor) und ERP (ABAS).
amadeus/toma	(5E) Branchen-SW	(5E)	Branchen-SW	vertriebssoftware							Gute PC- und Internetkenntnisse, Kenntnisse in Amadeus/TOMA wünschenswert
applus	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)								Programmierung neuer Module für das ERP-System (APplus) in enger Zusammenarbeit mit den Fachbereichen
atlas	(5I) Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	(5I)	Unternehmenssteuerung & Management (u.a. ERP, CRM, Vertriebssoftware, Warenwirtschaftssystem)	Zollsoftwar ua							NA
